SurveyID,Average dbh 20+ in.,Average dbh 8-20 in.,Average dbh snags 8+ in.,Average # trees 20+ in.,Average # trees 8-20 in.,Average # trees under 8 in. dbh,Average # snags,% cover trees,% cover brush
033-1,0,11.75,0,0,4,2,0,35,73
033-2,0,11.75,0,0,4,2,0,35,73
034-1,24,16.5,0,1,2,1,0,40,63
034-2,24,11.85714286,0,2,7,5,0,110,21
035-1,24,11.85714286,0,2,7,5,0,110,21
035-2,24,11.85714286,0,2,7,5,0,110,21
036-1,0,13,0,0,4,2,0,40,78
036-2,0,13,0,0,4,2,0,40,78
037-1,0,12.33333333,0,0,12,1,0,50,55
037-2,0,12.33333333,0,0,12,1,0,50,55
038-1,0,0,0,0,0,2,0,5,33
038-2,0,0,0,0,0,2,0,5,33
039-1,0,11.33333333,0,0,3,4,0,55,105
039-2,0,11.33333333,0,0,3,4,0,55,105
040-1,0,9,0,0,2,36,0,35,50
040-2,0,9,0,0,2,36,0,35,50
041-1,23,13.66666667,0,1,3,1,0,15,88
041-2,23,13.66666667,0,1,3,1,0,15,88
042-1,0,13.5,0,0,4,1,0,30,68
042-2,0,13.5,0,0,4,1,0,30,68
043-1,28.5,15,0,2,2,0,0,40,83
043-2,28.5,15,0,2,2,0,0,40,83
044-1,0,12.66666667,0,0,3,7,0,60,20
044-2,0,0,0,0,0,0,0,0,53
045-1,0,0,0,0,0,2,0,10,0
045-2,0,0,0,0,0,2,0,10,0
046-1,0,0,0,0,0,0,0,0,45
046-2,0,0,0,0,0,0,0,0,45
047-1,0,15.16666667,0,0,6,2,0,50,45
047-2,0,12,0,0,5,7,0,55,41
048-1,0,0,0,0,0,0,0,0,11
048-2,0,0,0,0,0,0,0,0,11
049-1,0,13,0,0,1,2,0,25,30
049-2,0,13,0,0,1,0,0,0,30
050-1,0,9.2,0,0,5,18,0,70,25
050-2,0,9.2,0,0,5,18,0,70,25
051-1,0,0,0,0,0,3,0,3,80
051-2,0,11.66666667,0,0,3,4,0,45,33
052-1,0,13.4,0,0,5,0,0,70,60
052-2,0,13.4,0,0,5,0,0,70,60
053-1,26.33333333,11,10.5,3,3,2,2,65,18
053-2,24,15,0,1,2,1,0,40,20
054-1,0,0,0,0,0,2,0,10,53
054-2,0,0,0,0,0,2,0,10,53
055-1,30,14,0,2,3,2,0,60,28
055-2,30,14,0,2,3,2,0,60,28
056-1,26,12,0,2,1,0,0,30,45
056-2,26,12,0,2,1,0,0,30,45
057-1,23.5,15.5,0,2,6,0,0,55,68
057-2,23.5,15.5,0,2,6,0,0,55,68
058-1,21,15.5,0,1,2,0,0,40,86
058-2,21,15.5,0,1,2,0,0,40,86
059-1,28,9,0,1,2,8,0,30,40
059-2,28,9,0,1,2,8,0,30,40
060-1,21,14.33333333,0,1,6,0,0,105,45
060-2,21,14.33333333,0,1,6,0,0,105,45
061-1,27.75,0,16,4,0,0,2,50,53
061-2,27.75,0,16,4,0,0,2,50,53
062-1,23,15.5,0,4,2,1,0,60,55
062-2,23,15.5,0,4,2,1,0,60,55
063-1,29,0,0,2,0,4,0,40,68
063-2,29,0,0,2,0,4,0,40,68
064-1,0,0,11,0,0,2,1,5,80
064-2,0,15,0,0,2,2,0,55,48
065-1,0,15.5,0,0,2,4,0,63,43
065-2,0,10.66666667,0,0,3,3,0,85,48
066-1,0,0,0,0,0,0,0,0,78
066-2,0,0,0,0,0,5,0,15,73
067-1,0,11,0,0,1,10,0,30,80
067-2,0,11,0,0,1,10,0,30,80
068-1,0,10.2,0,0,5,5,0,20,75
068-2,0,10.2,0,0,5,5,0,20,75
069-1,0,0,0,0,0,0,0,0,5
069-2,0,0,0,0,0,0,0,0,5
070-1,0,0,0,0,0,1,0,5,100
070-2,0,0,0,0,0,1,0,5,100
071-1,0,0,0,0,0,0,0,0,90
071-2,0,0,0,0,0,0,0,0,90
072-1,0,0,0,0,0,0,0,0,6
072-2,0,0,0,0,0,0,0,0,6
073-1,0,0,0,0,0,0,0,0,48
073-2,0,0,0,0,0,0,0,0,48
074-1,0,0,0,0,0,0,0,0,65
074-2,0,0,0,0,0,0,0,0,65
075-1,0,0,0,0,0,0,0,0,53
075-2,0,0,0,0,0,0,0,0,53
076-1,0,0,0,0,0,10,0,20,85
076-2,0,0,0,0,0,10,0,20,85
077-1,0,0,0,0,0,0,0,0,100
077-2,0,0,0,0,0,0,0,0,100
078-1,21,0,0,1,0,0,0,15,68
078-2,0,0,0,0,0,0,0,0,13
079-1,0,0,0,0,0,2,0,10,106
079-2,0,0,0,0,0,2,0,10,106
080-1,0,12,0,0,1,0,0,8,35
080-2,0,12,0,0,1,0,0,8,35
081-1,0,8,0,0,1,0,0,20,80
081-2,0,8,0,0,1,0,0,20,80
082-1,0,9,0,0,2,5,0,32,50
082-2,0,9,0,0,2,5,0,32,50
083-1,0,0,0,0,0,0,0,5,6
083-2,0,0,0,0,0,0,0,5,6
084-1,0,0,0,0,0,0,0,0,10
084-2,0,0,0,0,0,0,0,0,10
085-1,0,0,0,0,0,0,0,0,15
085-2,0,0,0,0,0,0,0,0,15
086-1,0,0,0,0,0,0,0,0,9
086-2,0,16,0,0,1,0,0,10,80
087-1,0,0,0,0,0,3,0,5,71
087-2,0,0,0,0,0,3,0,5,71
088-1,0,9,0,0,2,7,0,40,5
088-2,0,9,0,0,2,7,0,40,5
089-1,0,0,0,0,0,0,0,5,3
089-2,0,0,0,0,0,0,0,5,3
090-1,0,16.66666667,0,0,3,1,0,50,58
090-2,0,16.66666667,0,0,3,1,0,50,58
091-1,0,0,0,0,0,10,0,30,45
091-2,0,0,0,0,0,10,0,30,45
092-1,24,13.5,14,1,4,0,1,50,51
092-2,24,13.5,14,1,4,0,1,50,51
093-1,26.33333333,0,0,3,0,3,0,45,45
093-2,26.33333333,0,0,3,0,3,0,45,45
094-1,25,13,10,1,3,4,1,75,35
094-2,28,13,10,1,2,2,1,65,40
095-1,26,12.5,0,1,2,3,0,50,25
095-2,26,15.5,0,1,4,0,0,53,30
096-1,24.5,18,0,2,1,2,0,40,65
096-2,34,15.33333333,0,1,3,1,0,35,68
097-1,0,0,0,0,0,0,0,0,100
097-2,0,0,0,0,0,0,0,0,100
098-1,0,0,0,0,0,0,0,0,78
098-2,0,0,0,0,0,0,0,0,78
099-1,0,0,0,0,0,0,0,0,16
099-2,0,0,0,0,0,0,0,0,16
100-1,0,0,0,0,0,1,0,7,55
100-2,0,0,0,0,0,1,0,7,55
101-1,0,0,0,0,0,3,0,8,65
101-2,0,0,0,0,0,3,0,8,65
102-1,22,11.5,0,1,2,2,0,65,70
102-2,28,0,0,2,0,1,0,95,50
103-1,0,0,0,0,0,0,0,0,60
103-2,0,0,0,0,0,0,0,0,60
104-1,0,0,0,0,0,0,0,0,0
104-2,0,0,0,0,0,0,0,0,0
105-1,0,0,0,0,0,0,0,0,31
105-2,0,0,0,0,0,0,0,0,0
106-1,0,0,0,0,0,0,0,0,55
106-2,0,0,0,0,0,0,0,0,55
107-1,0,0,0,0,0,1,0,0,80
107-2,0,0,0,0,0,1,0,0,80
108-1,0,0,0,0,0,0,0,0,70
108-2,0,0,0,0,0,1,0,5,68
109-1,0,0,0,0,0,1,0,0,60
109-2,0,0,0,0,0,1,0,0,60
110-1,0,0,0,0,0,1,0,3,70
110-2,0,0,0,0,0,1,0,3,70
111-1,0,11,0,,11,2,0,55,45
111-2,0,10.33333333,0,,10.33333333,2,0,35,75
112-1,0,0,0,0,0,0,0,0,35
112-2,0,0,0,0,0,0,0,0,35
113-1,0,0,0,0,0,0,0,0,11
113-2,0,0,0,0,0,0,0,0,11
114-1,0,12,0,0,2,6,0,60,50
114-2,0,12,0,0,2,6,0,60,50
115-1,0,8.8,0,0,5,3,0,45,55
115-2,0,8.8,0,0,5,3,0,45,55
116-1,0,13.2,20,0,5,3,1,45,30
116-2,0,13.2,20,0,5,3,1,45,30
117-1,0,11,0,0,6,6,0,45,3
117-2,0,15,0,0,1,4,0,45,45
118-1,0,11,0,0,6,6,0,45,3
118-2,0,15,0,0,1,4,0,45,45
119-1,0,11,0,0,12,6,0,45,3
119-2,0,15,0,0,1,4,0,45,45
120-1,0,11,0,0,6,6,0,45,3
120-2,0,15,0,0,1,4,0,45,45
121-1,21,16,0,1,6,3,0,70,35
121-2,21,16,0,1,6,3,0,70,35
122-1,0,13.28571429,15,0,7,3,1,55,40
122-2,0,13.28571429,15,0,7,3,1,55,40
123-1,24.5,18,0,2,5,1,0,43,45
123-2,24.5,18,0,2,5,1,0,43,45
124-1,0,11.90909091,0,0,11,4,0,45,58
124-2,0,11.90909091,0,0,11,4,0,45,58
125-1,0,13.4,0,0,5,0,0,84,20
125-2,0,13.4,0,0,5,0,0,84,20
126-1,21,15.33333333,0,1,3,1,0,60,25
126-2,21,15.33333333,0,1,3,1,0,60,25
127-1,32,12.5,0,1,6,0,0,55,15
127-2,32,12.5,0,1,6,0,0,55,15
128-1,24.33333333,13.5,0,3,2,3,0,60,33
128-2,24.33333333,13.5,0,3,2,3,0,60,33
129-1,21.66666667,12.66666667,0,3,3,1,0,55,45
129-2,21.66666667,12.66666667,0,3,3,1,0,55,45
130-1,21.66666667,12.66666667,0,3,3,1,0,55,45
130-2,21.66666667,12.66666667,0,3,3,1,0,55,45
131-1,26.71428571,12,19,7,3,1,1,80,20
131-2,26.71428571,12,19,7,3,1,1,80,20
132-1,27,10,0,2,1,2,0,60,40
132-2,21.25,12,10,4,1,3,1,60,23
133-1,22,14,8.5,2,2,0,2,65,23
133-2,22,14,8.5,2,2,0,2,65,23
134-1,24,13,16,2,3,6,1,60,20
134-2,24,13,16,2,3,6,1,60,20
135-1,23,16.5,0,2,4,4,0,65,22
135-2,23,16.5,0,2,4,4,0,65,22
136-1,0,15,0,0,1,4,0,45,45
136-2,0,15,0,0,1,4,0,45,45
137-1,24,13.5,16,2,4,6,1,60,5
137-2,24,13.5,16,2,4,6,1,60,5
138-1,36,,0,1,0,7,0,85,15
138-2,22,11,0,1,2,3,0,60,35
139-1,27.66666667,17.5,0,3,2,2,0,45,50
139-2,24,14,0,1,5,1,0,60,35
140-1,27.66666667,17.5,0,3,2,2,0,45,50
140-2,24,13.75,13,2,4,2,1,70,23
141-1,0,11.66666667,0,0,3,10,0,60,60
141-2,0,11.66666667,0,0,3,10,0,60,60
142-1,37.5,11,0,2,1,0,0,45,45
142-2,37.5,11,0,2,1,0,0,45,45
143-1,0,11.4,0,0,5,5,0,45,40
143-2,0,11.4,0,0,5,5,0,45,40
144-1,0,11.4,0,0,5,10,0,65,45
144-2,0,0,0,0,0,8,0,55,38
145-1,0,0,0,0,0,0,0,0,3
145-2,0,0,0,0,0,0,0,0,3
146-1,0,10,0,0,2,0,0,15,53
146-2,0,10,0,0,2,0,0,15,53
147-1,0,0,0,0,0,0,0,0,13
147-2,0,0,0,0,0,0,0,0,13
148-1,0,12,0,0,2,38,0,70,15
148-2,0,12,0,0,2,38,0,70,15
149-1,49,11,12,1,1,4,2,65,23
149-2,22,11,25.5,1,3,4,2,50,43
150-1,22.5,16.5,8,2,4,3,1,60,40
150-2,22.5,16.5,8,2,4,3,1,60,40
151-1,0,18,0,0,1,2,0,15,60
151-2,0,18,0,0,1,2,0,15,60
152-1,0,16,0,0,4,1,0,35,21
152-2,0,16,0,0,4,1,0,35,21
153-1,0,9,0,0,1,6,0,75,38
153-2,0,9,0,0,1,6,0,75,38
154-1,0,0,0,0,0,0,0,0,0
154-2,0,0,0,0,0,0,0,0,0
155-1,31,16,17,1,4,3,1,40,30
155-2,31,16,17,1,4,3,1,40,30
